3382,266,736,2017,881,152,430,294,1174,203,204,3458,746,4777,1471,5172,4962,773,256,6209,1302,2677,408,17778,642,1842,1821,136,2424,8992,304,563
3271,228,746,2064,686,175,496,283,1091,166,207,3402,673,4170,1369,5186,4971,924,256,6405,1076,2615,446,18267,703,2106,1985,174,2533,8985,297,551
3241,244,753,2281,855,200,514,303,1089,173,215,3591,727,4070,1257,5186,5196,976,259,6049,1261,2571,494,17973,665,2244,2001,158,2619,8926,273,470
3264,233,836,2495,1027,205,517,243,1068,188,212,3711,805,3808,1273,5266,5703,1132,252,6184,1318,2507,530,19036,683,2416,2030,169,2641,9073,271,488
3197,198,741,2414,1258,200,444,296,995,213,182,3786,783,3631,1274,5693,6048,1250,349,6051,1264,2539,559,19809,655,2447,2114,168,2481,9324,219,450
3413,228,753,2252,1406,216,405,294,1211,225,221,4083,791,3625,1462,7646,5977,1283,425,5726,1351,2310,583,20153,592,2499,2114,303,2484,8992,211,425
3616,221,718,2182,1402,208,407,342,1212,233,240,4112,803,3629,1371,7627,6104,1282,538,5523,1407,2267,593,19601,567,2502,2169,299,2533,8682,219,430
3694,251,767,2288,1460,205,424,373,1467,258,245,4399,630,3959,1323,7617,6329,1340,654,5627,1457,2259,590,20030,608,2610,2410,299,2647,8603,211,462
3621,277,716,2452,1466,199,350,429,1413,268,232,4551,599,3978,1307,7273,6306,1226,724,5778,1460,2136,575,20126,514,2543,2546,332,2556,8338,194,473
3622,264,706,2245,1286,188,386,413,1507,294,215,4545,510,3830,1358,7995,6574,1280,816,5989,1209,2074,547,20668,536,2666,2765,338,2283,8717,242,520
3676,299,682,2002,1052,213,416,513,1584,314,245,4638,394,3767,1334,8066,6768,1342,878,5933,994,2059,523,20889,544,2799,2948,344,2255,8598,239,540
3697,342,718,1887,811,228,484,522,1564,347,267,4567,380,3943,1306,7880,6818,1333,842,5848,995,1913,516,21142,526,3061,3301,337,2288,8423,260,566
3726,321,754,2022,662,247,561,627,1178,399,240,4651,393,3980,1122,8027,7332,1472,758,6115,889,1816,514,21777,575,3256,3623,226,2390,8224,266,647
3698,378,799,2073,685,342,544,824,1282,425,186,4779,370,4432,1245,8273,7573,1718,929,7076,814,1757,495,22967,702,3621,3986,274,2467,8726,296,683
3537,341,785,2113,641,349,548,932,1127,414,240,4736,430,4279,1335,8709,7718,1825,916,7057,744,1832,523,22594,688,3944,3962,349,2366,9141,247,658
3799,451,773,1890,592,386,668,1123,1151,481,241,4781,493,4066,1405,9264,8420,2025,851,6801,912,2096,545,23559,758,4776,4253,298,2488,9581,347,733
3781,456,709,1836,639,424,634,1275,1165,530,268,5056,567,4283,1541,9032,8655,2117,822,6842,1025,2162,555,23943,839,5087,4431,318,2718,9562,333,748
3914,473,793,1839,681,395,731,1350,1538,638,241,4861,621,4239,1600,9207,9031,2121,764,6735,1266,2306,597,24177,887,5404,4566,382,2946,9870,368,805
4176,473,840,1981,727,475,755,1468,1669,691,251,5016,697,4182,1879,9916,9718,2258,771,6948,1344,2471,653,24130,854,5509,4569,489,3077,10493,402,902
4350,546,797,1999,817,599,693,1644,1659,742,272,4657,737,4259,2116,10323,10061,2317,810,6681,1418,2686,714,25111,908,5801,4806,554,3271,11137,437,924
4461,544,901,2463,910,707,834,1638,1871,794,315,4686,817,4975,2192,10996,10903,2307,634,6850,1492,2768,828,26129,891,6076,5080,609,3561,11826,423,930
4571,652,891,2363,1012,768,838,1604,1703,874,312,4433,821,5739,2269,11605,11429,2308,551,6557,1529,2691,822,28363,1029,5961,5059,577,3748,12260,476,944
4644,634,1165,2966,1125,769,810,1534,1839,920,368,4425,844,6277,2380,11809,11328,2426,603,7887,1419,2647,824,28837,1115,5763,5063,693,3794,12378,458,948
4679,725,1433,3541,1176,954,918,1629,1854,922,355,4166,927,6710,2466,12175,11941,2407,650,8194,1437,2662,846,30351,1084,5729,5231,733,3983,13086,504,969
4497,796,1660,3800,1226,1152,912,1659,1582,916,353,4739,922,6782,2675,13020,12047,2512,624,7986,1383,2709,871,32380,1069,5915,5578,726,4130,13549,517,934
4369,859,2055,4123,1271,1276,1006,1745,1517,923,341,5284,950,6898,2554,13282,12503,2425,629,8758,1394,2764,870,33988,1166,6138,5795,661,4347,13756,545,877
4194,836,2305,4131,1191,1193,1061,1762,1496,905,280,5279,924,6889,2472,13944,12660,2293,699,9500,1360,2846,757,33857,1116,6220,5678,681,4318,14003,579,911
